ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financial Services,9.38,-3.18,4.25,68.81,FY2021-FY2025,2025-12-25
IDBI,IDBI Bank Ltd,Banks,8.9,7.7,38.17,11.58,FY2021-FY2025,2025-12-25
IDFCFIRSTB,IDFC First Bank Ltd,Banks,5.7,17.98,19.14,41.46,FY2021-FY2025,2025-12-25
IFCI,IFCI Ltd,Financial Services,-47.74,-13.31,,46.88,FY2021-FY2025,2025-12-25
IIFL,IIFL Finance Ltd,Financial Services,16.2,11.39,-13.16,18.99,FY2021-FY2025,2025-12-25
IRB,IRB Infrastructure Developers Ltd,Construction,10.81,7.52,99.48,33.34,FY2021-FY2025,2025-12-25
IRCON,Ircon International Ltd,Construction,13.28,15.03,13.19,25.93,FY2021-FY2025,2025-12-25
ITCHOTELS,ITC Hotels Ltd,Consumer Services,6.99,,,49.92,FY2021-FY2025,2025-12-25
ITC,ITC Ltd,Fast Moving Consumer Goods,30.71,8.87,21.04,14.56,FY2021-FY2025,2025-12-25
ITI,ITI Ltd,Telecommunication,-10.24,8.89,,,FY2021-FY2025,2025-12-25
INDGN,Indegene Ltd,Healthcare,48.38,24.06,-55.32,29.11,FY2021-FY2025,2025-12-25
INDIACEM,India Cements Ltd,Construction Materials,-2.24,-1.63,,,FY2021-FY2025,2025-12-25
INDIAMART,Indiamart Intermesh Ltd,Consumer Services,21.39,15.68,14.76,22.43,FY2021-FY2025,2025-12-25
INDIANB,Indian Bank,Banks,12.84,9.67,24.56,9.16,FY2021-FY2025,2025-12-25
IEX,Indian Energy Exchange Ltd,Financial Services,43.23,11.05,16.0,26.4,FY2021-FY2025,2025-12-25
INDHOTEL,Indian Hotels Co Ltd,Consumer Services,4.44,34.12,,54.29,FY2021-FY2025,2025-12-25
IOC,Indian Oil Corporation Ltd,Oil Gas & Consumable Fuels,16.94,15.81,-8.87,6.45,FY2021-FY2025,2025-12-25
IOB,Indian Overseas Bank,Banks,9.75,10.64,30.78,13.21,FY2021-FY2025,2025-12-25
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Services,35.31,43.18,47.67,38.25,FY2021-FY2025,2025-12-25
IRFC,Indian Railway Finance Corporation Ltd,Financial Services,14.03,11.48,8.06,22.61,FY2021-FY2025,2025-12-25
IREDA,Indian Renewable Energy Development Agency Ltd,Financial Services,15.29,20.91,7.46,20.43,FY2021-FY2025,2025-12-25
IGL,Indraprastha Gas Ltd,Oil Gas & Consumable Fuels,20.46,24.75,7.92,16.48,FY2021-FY2025,2025-12-25
INDUSTOWER,Indus Towers Ltd,Telecommunication,25.41,16.64,21.84,15.33,FY2021-FY2025,2025-12-25
INDUSINDBK,IndusInd Bank Ltd,Banks,10.33,10.91,-2.69,,FY2021-FY2025,2025-12-25
NAUKRI,Info Edge (India) Ltd,Consumer Services,31.49,20.37,-7.56,65.69,FY2021-FY2025,2025-12-25
INFY,Infosys Ltd,Information Technology,29.95,10.16,7.21,24.63,FY2021-FY2025,2025-12-25
INOXWIND,Inox Wind Ltd,Capital Goods,-9.21,47.33,,31.54,FY2021-FY2025,2025-12-25
INTELLECT,Intellect Design Arena Ltd,Information Technology,16.94,10.8,3.94,39.36,FY2021-FY2025,2025-12-25
INDIGO,Interglobe Aviation Ltd,Services,-33.71,40.73,,61.63,FY2021-FY2025,2025-12-25
IGIL,International Gemological Institute Limited,Services,,,,25.87,FY2021-FY2025,2025-12-25
IKS,Inventurus Knowledge Solutions Ltd,Information Technology,39.67,36.95,-32.36,45.25,FY2021-FY2025,2025-12-25
IPCALAB,Ipca Laboratories Ltd,Healthcare,14.75,10.52,-8.34,40.02,FY2021-FY2025,2025-12-25
JBCHEPHARM,J B Chemicals & Pharmaceuticals Ltd,Healthcare,21.25,13.91,7.89,37.42,FY2021-FY2025,2025-12-25
JKCEMENT,J K Cements Ltd,Construction Materials,15.56,12.45,3.94,42.53,FY2021-FY2025,2025-12-25
